OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
17,AAR Nakuru Clinic,Dispensary,Non-Governmental Organizations,Nakuru,Nakuru,Municipality,Central,Viwanda,NAKURU TOWN,Nakuru Town,-0.23285,36.04388
18,AAR Outpatient Center Donholm,Medical Clinic,Private Practice - General Practitioner,Nairobi,Embakasi East,Embakasi East,Upper Savanna,Donholm,EMBAKASI EAST,Donholm,-1.18072,36.53169
19,AAR Thika out Patient Centre,Medical Clinic,Private Practice - General Practitioner,Kiambu,Thika West,Thika Municipality,Komu,Komu,JUJA,Wabera street opposite thika stadium zuri centre 3rd flooor,-1.03863,37.0775
20,AAR Thika Road Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Roysambu,Kasarani,Kasarani, ,ROYSAMBU,Nairobi,-1.2148,36.8665
21,Abakore Sub District Hospital,Sub-District Hospital,Ministry of Health,Wajir,Habaswein,Habaswein,Abakore,Abakore,WAJIR SOUTH,Habaswein,0.63091,39.71226
22,Abandoned Child Care,Dispensary,Non-Governmental Organizations,Nairobi,Dagoretti South,Dagoretti South,Uthiru/Ruthimitu, ,DAGORETTI SOUTH,Dagoretti Market,-1.27396,36.69119
23,Abba Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nyeri,Nyeri South, , , ,OTHAYA, ,-0.49793,36.99488
24,Abby Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Westlands,Kangemi, , ,WESTLANDS, ,-1.26379,36.74795
25,Abby Health Services,Medical Clinic,Private Practice - General Practitioner,Kitui,Kitui Central,Central,Township,Township,KITUI CENTRAL,Kitui,-1.03669,38.0094
26,ABC Thange Dispensary,Dispensary,Other Faith Based,Makueni,Kibwezi,Kibwezi,Utithi,Thange,KIBWEZI,Thange,-2.50087,38.01595
27,Abdallah Dental Clinic (Barclays Plaza-Nairobi),Dental Clinic,Private Practice - Unspecified,Nairobi,Starehe,Central,Central,Central,STAREHE,GPO,-1.28474,36.81815
28,Abdisamad Dispensary,Dispensary,Ministry of Health,Garissa,Garissa,Sankuri,Sankuri,Abdisamad,DUJIS,Abdisamad,0.04883,39.65491
29,Abdiwaqo Dispensary,Dispensary,Ministry of Health,Wajir,Eldas,Dela,Abdiwaqo,Abdiwaqo,WAJIR WEST,Eldas,2.17684,39.3362
30,Aberdare Health Services,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Kigumo,Kigumo,Kangari,Kangari,KIGUMO,Kangari,-0.765141,36.8247
31,Aberdare Medical & Surgical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Nyeri South,Othaya,Iriani,Gitundu,OTHAYA,Othaya Town,-0.558127,36.9264
32,Abidha Health Centre,Health Centre,Ministry of Health,Siaya,Rarieda,Rarieda,East Asembo,Omia Mwalo,RARIEDA,Asembo Bay,-0.15902,34.41064
33,Able Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kakamega,Kakamega East (Shinyalu),Shinyalu,Shibuye,Shing'Odo,SHINYALU,Shinyalu,0.22351,34.81428
34,Aboloi Dispensary,Dispensary,Ministry of Health,Busia,Teso North,Angurai,Aboloi,Akachachata,AMAGORO,Malakisi,0.65654,34.39563
35,Abra Health Services,Medical Clinic,Private Practice - Unspecified,Nairobi,Embakasi West,Savannah,Savannah,Savannah,EMBAKASI WEST,Donholm,-1.2907,36.90275
36,Abraham Memorial Nursing Home (Westlands),Maternity Home,Private Enterprise (Institution),Nairobi,Westlands,Kangemi,Kangemi,kangemi,WESTLANDS, ,-1.26735,36.75793
37,Abrahams Clinic,Medical Clinic,Private Enterprise (Institution),Kirinyaga,Kirinyaga West,Ndia, , ,NDIA,Sagana,-0.40098,37.2593
38,Absalom Wangulu Dispensary,Dispensary,Ministry of Health,Kisumu,Nyando,Kadibo,Kombura,Masogo,NYANDO,Rabuor,-0.17013,34.84837
39,Abundant Life Clinic,Medical Clinic,Private Enterprise (Institution),Kisumu,Kisumu East,Winam,Nyalenda,Nyalenda A,KISUMU TOWN EAST,Kisumu Town,-0.122486,34.752132
40,Acacia Clinic (Kilimani),Medical Clinic,Private Practice - General Practitioner,Nairobi,Dagoretti North,Kilimani, , ,DAGORETTI NORTH,CBD Nbi,-1.26418,36.79893
41,Acacia Medical Centre (Nairobi),Medical Clinic,Private Practice - General Practitioner,Nairobi,Starehe,Central,Central,Central,STAREHE,City Market,-1.28443,36.82113
42,Acacia Medicare Centre,Medical Clinic,Private Practice - Clinical Officer,Kajiado,Kajiado North,Ngong,Ngong Town,Township,KAJIADO NORTH,Ngong,-1.361581,36.65714
43,Acc&S Kariua Dispensary,Dispensary,Christian Health Association of Kenya,Murang'a,Kandara,Kandara,Gacharage,Kariua,KANDARA,Kariua,-0.83403,36.97599
44,Access Afya,Medical Clinic,Private Practice - General Practitioner,Nairobi,Starehe,Nairobi South,Mukuru Nyayo,Mukuru Nyayo,STAREHE,S.B Shopping Centre,-1.31085,36.8427
45,Access Afya Medical Centre Viwandani,Medical Clinic,Private Practice - Medical Specialist,Nairobi,Makadara,Viwandani,Viwandani,Lunga lunga,MAKADARA,Nairobi,-1.30936,36.87844
46,Ace Africa (k) Wellness Centre,VCT Centre (Stand-Alone),Non-Governmental Organizations,Bungoma,Bungoma South,Kanduyi,Township,Township,KANDUYI,Nearest to Tesia Supermarket,0.2456,34.256
47,Acef Ena Health Centre,Health Centre,Other Faith Based,Embu,Embu East,Runyenjes,Kagaari South,Ena,RUNYENJES,Ena,-0.47344,37.55271
48,ACK Dispensary (Isiolo),Dispensary,Christian Health Association of Kenya,Isiolo,Isiolo,Central,West,Bulapesa,ISIOLO NORTH,Isiolo,0.35699,37.57572
49,ACK Kanunga Dispensary,Dispensary,Christian Health Association of Kenya,Kiambu,Kiambu,Kiambaa,Kianunga,Ngegu,KIAMBAA,Kiambu Town,-1.16216,36.78138
50,ACK Mwingi CHBC Clinic,Dispensary,Christian Health Association of Kenya,Kitui,Mwingi Central,Central,Mwingi,Mwingi,MWINGI SOUTH,Mwingi,-0.93904,38.06006
51,ACK Nyandarua Medical Clinic,Medical Clinic,Christian Health Association of Kenya,Nyandarua,Nyandarua Central,Olkalou,Kaimbaga,Captain,OL KALOU,Captain,0.03461,36.37201
52,ACK Tumaini Medical Clinic,Medical Clinic,Christian Health Association of Kenya,Nyeri,Nyeri Central,Nyeri Municipality,Mukaro,Majengo,NYERI TOWN, ,-0.42082,36.95441
53,Acode Medical Clinic Maungu,Medical Clinic,Private Enterprise (Institution),Taita Taveta,Voi,Voi,Maungu,Maungu,VOI,Maungu,-3.55733,38.75037
54,Aculaser Institute,Training Institution in Health (Stand-alone),Private Enterprise (Institution),Nairobi,Westlands,Parklands,Parklands, ,WESTLANDS, ,-1.26237,36.82461
55,Adadijolle Dispensary,Dispensary,Ministry of Health,Wajir,Wajir North,Bute,Ogorji,Adadijolle,WAJIR NORTH,Adadijolle,3.33436,39.45842
56,ADC Danisa Dispensary,Dispensary,Non-Governmental Organizations,Kilifi,Malindi,Lango Baya,Chakama,Kisiki Cha Mgiriama,MALINDI,Lango baya,-3.05351,39.50986
57,Ademasajida Dispensary,Dispensary,Ministry of Health,Wajir,Wajir West,Ademasajida,Ademasajida,Ademasajida,WAJIR WEST,Griftu,1.02825,39.4885
58,Adenawale Dispensaty,Dispensary,Ministry of Health,Wajir,Wajir West,Arbajanan,Adenawale,Adenawale,WAJIR WEST,Griftu,2.1403,39.29617
59,Adiedo Dispensary,Dispensary,Ministry of Health,Homa Bay,Rachuonyo North,East Karachuonyo,West Kanyaluo,Komwoyo,KARACHUONYO,Adiedo Market,-0.42727,34.60247
60,Administration Police Dispensary (Kisumu East),Dispensary,Ministry of Health,Kisumu,Kisumu East,Winam,Township,Southern,KISUMU TOWN EAST,Kisumu,-0.12409,34.75813
61,Administration Police Senior Staff College Dispens,Dispensary,Ministry of Health,Makueni,Nzaui,Emali,Emali,Emali,MAKUENI,Emali,-2.14277,37.56218
62,Adoma Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Migori,Awendo,Awendo,Central Sakwa,Kombok,RONGO,Awendo Market Center-,-0.91634,34.52189
63,Adu Dispensary,Dispensary,Ministry of Health,Kilifi,Magarini,Marafa,Adu,Adu,MAGARINI,Malindi,-2.83976,39.98014
64,Adurkoit Dispensary,Dispensary,Ministry of Health,West Pokot,West Pokot,Kongelai,Kanyarkwat,Adurkoit,KAPENGURIA,Kapenguria,1.35742,34.92782
65,Advent Med & Dentist Care Centre,Medical Clinic,Private Practice - General Practitioner,Nakuru,Nakuru,Nakuru Municipality,Town Centre,CBD,NAKURU TOWN,Nakuru CBD,-0.28631,36.06565
66,Adventist Centre For Care and Support (Kilimani),VCT Centre (Stand-Alone),Other Faith Based,Nairobi,Dagoretti North,Kilimani,Kilimani,Kilimani,DAGORETTI NORTH,Nairobi,-1.28899,36.80751
67,Afraha Maternity and Nursing Home,Nursing Home,Private Enterprise (Institution),Nakuru,Nakuru,Nakuru Munincipal,Bondeni,Afraha,NAKURU TOWN,Near Nakuru Stadium,-0.29746,36.07421
68,Africa Inland Church Dispensary,Dispensary,Christian Health Association of Kenya,Wajir,Wajir East,Central,Wagberi,Wagberi,WAJIR EAST,Wajir Police Line,1.74868,40.06798
69,African Divine Church-Org,VCT Centre (Stand-Alone),Other Faith Based,Nairobi,Mathare,Mathare,Mathare,Mabati-ni,MATHARE, ,-1.24541,36.80472
70,African Muslim Agency Dispensary,Dispensary,Supreme Council for Kenya Muslims,Isiolo,Garbatula,Garbatulla,Garbatulla South,Garbatulla south,ISIOLO SOUTH,AMA Children Home,0.52541,38.50904
71,African Muslim Agency- Matsangoni,Dispensary,Supreme Council for Kenya Muslims,Kilifi,Kilifi North,Bahari,Matsangoni,Matsangoni,BAHARI,Matsangoni,-3.23366,39.55701
72,Afwan Medical Centre,Nursing Home,Private Enterprise (Institution),Nairobi,Kamukunji,Pumwani,Pumwani,Pumwani,KAMUKUNJI,Eastleigh,-1.28321,36.8405
73,Afwein Dispensary,Dispensary,Ministry of Health,Garissa,Lagdera,Shantabak,Shantabak,Shantabak,LAGDERA,Shantabak,0.35346,39.35608
74,Afwene Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,Garissa, , , ,DUJIS, ,-0.43407,39.65269
75,Afya Bora Clinic (Meru South),Medical Clinic,Private Enterprise (Institution),Tharaka Nithi,Meru South,Chuka,Kiang'ondu,Township,CHUKA IGAMBANGOMBE,Chuka Town,-0.33367,37.64403
76,Afya Bora Clinic (Mutomo),Medical Clinic,Private Practice - Nurse / Midwife,Kitui,Mutomo,Mutomo,Kibwea,Kawelu,KITUI SOUTH,Mutomo Town,-1.50099,38.12479
77,Afya Bora Clinic (Mwea),Medical Clinic,Private Enterprise (Institution),Kirinyaga,Kirinyaga North,Mwea,Mutithi,Kabiriri,MWEA,Kandondgu,-0.681054,37.2904
78,Afya Bora Clinic Karia,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Githunguri,Githunguri,Githunguri,Kiairia,GITHUNGURI,Kiairia,-1.10056,36.81912
79,Afya Bora Health Care,Medical Clinic,Non-Governmental Organizations,Nairobi,Westlands,Kangemi,Kangemi, ,WESTLANDS, ,-1.26779,36.75751
80,Afya Bora Health Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Nyandarua West,Oljoro orok,Weru,Weru,OL KALOU,Kasuku,-0.13267,36.37921
81,Afya Bora Mc,Medical Clinic,Private Practice - Nurse / Midwife,Trans Nzoia,Trans Nzoia West,Central,Matisi,Kipsongo,SABOTI,Kitale,1.01331,34.98641
82,Afya Bora Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nakuru,Njoro,Mau-Narok,Mau-Narok,Kianjoya,MOLO,Kianjoya,-0.34365,36.05765
83,Afya Bora Medical Clinic (CFW Clinic Gichugu),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga East,Gichugu,Njukiini,Kanjuu,GICHUGU,Gathoge,-0.524658,37.41892
84,Afya Bora Medical Clinic (Malindi),Medical Clinic,Private Practice - Nurse / Midwife,Kilifi,Magarini,Magarini,Fundi Issa,Marereni,MAGARINI,Malindi,-2.86282,40.1482
85,Afya Bora Medical Clinic (Mirangine),Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Mirangine,Mirangine,Gwa Kiongo,Sabugo,OL KALOU,Mirangine,-0.176,36.24414
86,Afya Bora Medical Clinic (Muchagara),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga East,Gichugu,Karumande,Thumaita,GICHUGU,Muchagara,-0.46852,37.36062
87,Afya Bora Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Nyeri Central,Municipality,Mukaro,Ruringu,NYERI TOWN,Ruringu,-0.43574,36.96286
88,Afya Bora Medical Clinic (Turkana Central),Medical Clinic,Private Practice - Clinical Officer,Turkana,Turkana Central,Central,Lodwar,Lodwar Town,TURKANA CENTRAL,Lodwar,3.11942,35.59954
89,Afya Bora Medical Clinic (Westlands),Medical Clinic,Private Enterprise (Institution),Nairobi,Westlands,Kangemi,Kangemi, ,WESTLANDS, ,-1.2644,36.75237
90,Afya Clinic,Medical Clinic,Private Enterprise (Institution),Taita Taveta,Wundanyi,Wundanyi,Wundanyi,Wundanyi,WUNDANYI,Wundanyi,-3.24262,38.21918
91,Afya Frank Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado North,Ngong,Nkaimurunya,Kandisi,KAJIADO NORTH,Ongata Rongai,-1.38778,36.7523
92,Afya Health Care,Dispensary,Private Enterprise (Institution),Nairobi,Roysambu,Kasarani,Githurai,Githurai,ROYSAMBU,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",-1.19949,36.90172
93,Afya Health Services,Medical Clinic,Private Practice - Clinical Officer,Nyeri,Mukurweini,Mukurweini,Muhito,Gaturia,MUKURWEINI,Mukurweini Town,-0.557562,37.0525
94,Afya Health System Hospital,Sub-District Hospital,Private Practice - General Practitioner,Homa Bay,Homa Bay,Asego,Town,Township,RANGWE,Homa Bay Town,-0.53,34.46
95,Afya House Dispensary,Dispensary,Ministry of Health,Nairobi,Kibra,KNH Golf Course,Community,Community,KIBRA,Community,-1.29107,36.81502
96,Afya Link Ngurubani Clinic,Medical Clinic,Private Enterprise (Institution),Kirinyaga,Kirinyaga South,Mwea,Tebere,Kiarukungu,MWEA,Ngurubani,-0.68405,37.3581
97,Afya Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Mombasa,Kisauni,Kisauni,Kisauni,Bamburi,KISAUNI,Bamburi,-4.00659,39.70123
98,Afya Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Thika West,Juja,Juja,Kiaora,JUJA,Gachororo,-1.07444,36.9855
99,Afya Medical Clinic,Medical Clinic,Private Enterprise (Institution),Meru,Buuri,Timau, , ,NORTH IMENTI, ,0.14007,37.53345
100,Afya Medical Clinic (Dandora),Medical Clinic,Private Practice - General Practitioner,Nairobi,Embakasi North,Dandora,Dandora,Dandora 41,EMBAKASI NORTH,Dandora 41,-1.25143,36.90057
101,Afya Medical Clinic (Garissa),Medical Clinic,Private Practice - Clinical Officer,Garissa,Garissa,Central,Central,Central,DUJIS,Garissa,-0.45654,39.63904
102,Afya Medical Clinic (Gilgil),Medical Clinic,Private Practice - Clinical Officer,Nakuru,Gilgil,Gilgil,Mbaruk,Mbaruk,NAIVASHA,In Mbaruk shopping Centre,-0.49987,36.32373
103,Afya Medical Clinic (Gwakungu),Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Nyandarua North,Ndaragwa,Karagoini,Gwakungu,NDARAGWA,Gwakungu,0.0165,36.49255
104,Afya Medical Clinic (Mbaruk),Medical Clinic,Private Practice - Clinical Officer,Nakuru,Gilgil,Gilgil,Mbaruk,Mbaruk,NAIVASHA,Kasambara Shopping Centre near Lady Anne Secondary School,-0.35429,36.21398
105,Afya Medical Clinic (Meru),Medical Clinic,Private Practice - Unspecified,Meru,Imenti North,Miriga Mieru West,Ntima/Ntakira, ,NORTH IMENTI, ,0.04021,37.64849
106,Afya Medical Clinic (Munyaka),Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Kinangop,south kinangop,Njabini,Tulaga,KINANGOP,Munyaka,-0.68826,36.62214
107,Afya Medical Clinic (Muranga North),Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Mathioya,Kangema,Rwathia,Kihoya,MATHIOYA,Kihoya,-0.647721,36.9012
108,Afya Medical Clinic (Nakuru),Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Nakuru,Nakuru Municipality,Bondeni,Manyani,NAKURU TOWN,Near Flamingo Nursery School,-0.29448,36.09211
109,Afya Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Mathira East,Mathira,Konyu,Karatina,MATHIRA,Karatina,-0.48076,37.12301
110,Afya Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Mukurweini,Mukurweini,Rutune,Ngamwa,MUKURWEINI,Ngamwa,-0.63244,37.12623
111,Afya Medical Clinic and Nursing Home (Wajir East),Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.74477,40.05697
112,Afya Medical Clinic(Dagoretti Market),Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Kikuyu,Kikuyu,Thogoto,Dagoretti,KABETE,Dagoretti Market,-1.28628,36.68569
113,Afya Medical Clinic(Mwingi),Medical Clinic,Private Practice - Clinical Officer,Kitui,Mwingi Central,Mwingi Central,Mwingi Central,Mwingi Central,MWINGI SOUTH,Mwingi Town,-0.94306,38.06352
114,Afya Medical Laboratory,Laboratory (Stand-alone),Private Practice - Unspecified,Meru,Buuri,Buuri,Kiirua,Kiirua,NORTH IMENTI,Kiirua Market,0.12265,37.55971
115,Afya Medicare Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Kieni East,Kiamathaga,Mwichuiri,Kabendera,KIENI,Soweto,-0.20607,37.09822
116,Afya Medicare Clinic (Wajir East),Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.75129,40.05686
117,Afya Njema Clinic,Medical Clinic,Private Enterprise (Institution),Machakos,Athi River,Athi River,Athi River,Mavoko,KATHIANI,mavoko,-1.4536,36.98832
118,Afya Njema Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nakuru,Rongai,Rongai,Rongai,Rongai,RONGAI,Rongai,-0.20643,35.84816
119,Afya Njema Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Kieni East,Kieni East,Narumoru,Narumoru,KIENI,Narumoru,-0.1697,37.02112
120,Afya Nursing Home (Moyale),Nursing Home,Private Practice - Clinical Officer,Marsabit,Moyale,Central,Central,Central,MOYALE,Moyale,3.52265,39.0586
121,Afya Yako Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nyeri,Nyeri Central, , , ,NYERI TOWN, ,-0.42228,37
122,Afya Yetu Medical Centre,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado North,Ongata Rongai,Nkaimurunya,Kware,KAJIADO NORTH,Ongata Rongai,-1.39246,36.75079
123,Afyafirst Medical Center,Medical Clinic,Private Practice - General Practitioner,Mombasa,Mvita,Island,Tudor,Spark,MVITA,Majengo,-4.04277,39.66018
124,Afyamax Medical & Centre Dental,Medical Clinic,Private Practice - General Practitioner,Nairobi,Roysambu,Kasarani,Githurai,zimmerman,ROYSAMBU,next to success stage zimmerman,-1.20694,36.89414
125,Aga Khan,Medical Clinic,Private Practice - General Practitioner,Laikipia,Laikipia West,Nyahururu,Nyahururu Town,Nyahururu Town,LAIKIPIA WEST,Nyahururu,0.04165,36.36212
126,Aga Khan Clinic,Medical Clinic,Private Enterprise (Institution),Laikipia,Laikipia Central,Sweetwaters,Marura,Marura,LAIKIPIA EAST,Nanyuki Town,0.0101,37.07546
127,Aga Khan Clinic ( Ngong  Rd Prestige),Medical Clinic,Private Practice - General Practitioner,Nairobi,Kibra, , , ,KIBRA, ,-1.28321,36.8405
128,Aga Khan Clinic (Eastleigh),Medical Clinic,Private Enterprise (Institution),Nairobi,Kamukunji,Pumwani,Pumwani,Pumwani,KAMUKUNJI,Near former KBS General Waruige street,-1.27911,36.84887
129,Aga Khan Clinic Kitengela,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado North,Kitengela,Noonkopir,Noonkopir,KAJIADO NORTH,Kitengela,-1.47256,36.95456
130,Aga Khan Greenspam Medical Centre,Medical Clinic,Private Practice - Unspecified,Nairobi,Embakasi West,Umoja,Savanna,Savanna,EMBAKASI WEST,Donholm,-1.29923,36.90131
131,Aga Khan Health Service Bungoma Centre,Medical Clinic,Private Practice - Medical Specialist,Bungoma,Bungoma South,Kanduyi,Township,Township,KANDUYI,Bungoma,0.54743,34.56167
132,Aga Khan Hospital,Other Hospital,Private Enterprise (Institution),Nairobi,Westlands,Parklands,Parklands, ,WESTLANDS, ,-1.262231,36.817897
133,Aga Khan Hospital (Juja),Medical Centre,Private Enterprise (Institution),Kiambu,Ruiru,Juja,Juja,Kiaora,JUJA,Juja town,-1.04323,36.89654
134,Aga Khan Hospital (Kisumu),Other Hospital,Private Enterprise (Institution),Kisumu,Kisumu East,Winam,Township,Southern,KISUMU TOWN EAST,Kisumu,-0.09937,34.75621
135,Aga Khan Hospital (Mombasa),Other Hospital,Private Enterprise (Institution),Mombasa,Mvita,Island,Ganjoni,Kizingo,MVITA,Mombasa,-4.07012,39.67003
136,Aga Khan MC Kitale,Medical Clinic,Private Enterprise (Institution),Trans Nzoia,Trans Nzoia West,Municipality,Kipsongo,Kipsongo,SABOTI,Kitale,1.0129,35.00263
137,Aga Khan Medical Centre Kericho,Medical Clinic,Private Practice - General Practitioner,Kericho,Kericho,Ainamoi,Municipality,Township,AINAMOI,Kericho Town,-0.37218,35.28087
138,Aga Khan University Hospital - Embu,Other Hospital,Private Practice - Medical Specialist,Embu,Manyatta,Central,Municipality,Stadium,MANYATTA,Embu,-0.53674,37.4517
139,Aga Khan University Hospital (Buruburu),Dispensary,Private Enterprise (Institution),Nairobi,Makadara,Makadara,Makadara,Harambee,MAKADARA,Nairobi,-1.28254,36.8796
140,Aga Khan University Hospital (Capital Centre),Medical Clinic,Private Practice - General Practitioner,Nairobi,Starehe,Nairobi South,Nairobi South,Nairobi South,STAREHE,Capital Centre,-1.31661,36.83386
141,Aga Khan University Hospital Clinic (Naivasha),Medical Clinic,Private Enterprise (Institution),Nakuru,Naivasha,Central,Sokoni,Sokoni,NAIVASHA, ,-0.71459,36.43354
142,Aga Khan University Hospital Kiambu Clinic,Medical Clinic,Private Practice - General Practitioner,Kiambu,Kiambu,Kiambu,Kiambu,Municipality,KIAMBAA,Kiambu Town,-1.17195,36.82934
143,Aga Khan University Hospital -New Machakos Medical,Medical Clinic,Private Practice - General Practitioner,Machakos,Machakos,Central,Township,Mjini,MACHAKOS TOWN,Machakos Town,-1.51993,37.26969
144,Aga Khan University Hospital- Nyeri Medical Centre,Health Centre,Private Enterprise (Institution),Nyeri,Nyeri Central,Municipality,Mukaro,majengo,NYERI TOWN,Nyeri Town,-0.025333,37.094
145,Aga Khan University Hospital O/R Clinic,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado North,Ngong,Nkaimurunya,Kandisi,KAJIADO NORTH,Ongata Rongai,-1.38778,36.7523
146,Agakhan Kisii,Medical Clinic,Private Enterprise (Institution),Kisii,Kisii Central,Mosocho,Mwamosioma,Township,KITUTU CHACHE,Kisii Municipal Mkt,-0.4047,34.46258
147,Agakhan Medical Centre,Medical Clinic,Private Practice - General Practitioner,Nakuru,Nakuru,Municipality,Biashara,Westside Mall,NAKURU TOWN,Nakuru Nakumatt,-0.28651,36.06348
148,Agape Medical Services,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Kigumo,Kigumo,Kangari,Mariira,KIGUMO,Karinga,-0.789993,36.917
149,Agawo Dispensary,Dispensary,Ministry of Health,Homa Bay,Rachuonyo South,Kasipul,East Kamagak,Kachieng,KASIPUL/KABONDO,Sikri,-0.46748,34.7874
150,Agc Baby Health Centre,Health Centre,Other Faith Based,Nakuru,Rongai,Ngata,Ngata,Ngata,NAKURU TOWN,Nakuru Town,-0.25955,35.9785
151,Agenga Dispensary,Dispensary,Ministry of Health,Migori,Nyatike,Nyatike,Central Kadem,Kanyuor West,NYATIKE,Agenga,-0.91877,34.23407
152,Agenga Dispensary (Samia),Dispensary,Ministry of Health,Busia,Samia,Funyula,Agenga,Agenga,FUNYULA,Mulukhoni Market,0.25266,34.07067
